"Time (UTCG)","Magnitude (km)"
1 Jan 2023 00:54:00.000,391812.308481
1 Jan 2023 00:55:00.000,391804.895980
1 Jan 2023 00:56:00.000,391797.405525
1 Jan 2023 00:57:00.000,391789.837297
1 Jan 2023 00:58:00.000,391782.191481
1 Jan 2023 00:59:00.000,391774.468263
1 Jan 2023 01:00:00.000,391766.667827
1 Jan 2023 01:01:00.000,391758.790363
1 Jan 2023 01:02:00.000,391750.836059
1 Jan 2023 01:03:00.000,391742.805106
1 Jan 2023 01:04:00.000,391734.697695
1 Jan 2023 01:05:00.000,391726.514021
1 Jan 2023 01:06:00.000,391718.254276
1 Jan 2023 01:07:00.000,391709.918658
1 Jan 2023 01:08:00.000,391701.507363
1 Jan 2023 01:09:00.000,391693.020590
1 Jan 2023 01:10:00.000,391684.458538
1 Jan 2023 01:11:00.000,391675.821409
1 Jan 2023 01:12:00.000,391667.109405
1 Jan 2023 01:13:00.000,391658.322730
1 Jan 2023 01:14:00.000,391649.461588
1 Jan 2023 01:15:00.000,391640.526186
1 Jan 2023 01:16:00.000,391631.516732
1 Jan 2023 01:17:00.000,391622.433434
1 Jan 2023 01:18:00.000,391613.276504
1 Jan 2023 01:19:00.000,391604.046151
1 Jan 2023 01:20:00.000,391594.742589
1 Jan 2023 01:21:00.000,391585.366032
1 Jan 2023 01:22:00.000,391575.916695
1 Jan 2023 01:23:00.000,391566.394795
1 Jan 2023 01:24:00.000,391556.800550
1 Jan 2023 01:25:00.000,391547.134179
1 Jan 2023 01:26:00.000,391537.395902
1 Jan 2023 01:27:00.000,391527.585941
1 Jan 2023 01:28:00.000,391517.704519
1 Jan 2023 01:29:00.000,391507.751860
1 Jan 2023 01:30:00.000,391497.728189
1 Jan 2023 01:31:00.000,391487.633733
1 Jan 2023 01:32:00.000,391477.468719
1 Jan 2023 01:33:00.000,391467.233378
1 Jan 2023 01:34:00.000,391456.927940
1 Jan 2023 01:35:00.000,391446.552635
1 Jan 2023 01:36:00.000,391436.107697
1 Jan 2023 01:37:00.000,391425.593360
1 Jan 2023 01:38:00.000,391415.009859
1 Jan 2023 01:39:00.000,391404.357431
1 Jan 2023 01:40:00.000,391393.636313
1 Jan 2023 01:41:00.000,391382.846744
1 Jan 2023 01:42:00.000,391371.988965
1 Jan 2023 01:43:00.000,391361.063216
1 Jan 2023 01:44:00.000,391350.069740
1 Jan 2023 01:45:00.000,391339.008781
1 Jan 2023 01:46:00.000,391327.880584
1 Jan 2023 01:47:00.000,391316.685394
1 Jan 2023 01:48:00.000,391305.423460
1 Jan 2023 01:49:00.000,391294.095029
1 Jan 2023 01:50:00.000,391282.700351
1 Jan 2023 01:51:00.000,391271.239677
1 Jan 2023 01:52:00.000,391259.713258
1 Jan 2023 01:53:00.000,391248.121349
1 Jan 2023 01:54:00.000,391236.464202
1 Jan 2023 01:55:00.000,391224.742075
1 Jan 2023 01:56:00.000,391212.955222
1 Jan 2023 01:57:00.000,391201.103902
1 Jan 2023 01:58:00.000,391189.188373
1 Jan 2023 01:59:00.000,391177.208896
1 Jan 2023 02:00:00.000,391165.165732
1 Jan 2023 02:01:00.000,391153.059143
1 Jan 2023 02:02:00.000,391140.889392
1 Jan 2023 02:03:00.000,391128.656744
1 Jan 2023 02:04:00.000,391116.361464
1 Jan 2023 02:05:00.000,391104.003819
1 Jan 2023 02:06:00.000,391091.584077
1 Jan 2023 02:07:00.000,391079.102507
1 Jan 2023 02:08:00.000,391066.559379
1 Jan 2023 02:09:00.000,391053.954963
1 Jan 2023 02:10:00.000,391041.289533
1 Jan 2023 02:11:00.000,391028.563361
1 Jan 2023 02:12:00.000,391015.776722
1 Jan 2023 02:13:00.000,391002.929891
1 Jan 2023 02:14:00.000,390990.023145
1 Jan 2023 02:15:00.000,390977.056761
1 Jan 2023 02:16:00.000,390964.031017
1 Jan 2023 02:17:00.000,390950.946195
1 Jan 2023 02:18:00.000,390937.802574
1 Jan 2023 02:19:00.000,390924.600436
1 Jan 2023 02:20:00.000,390911.340064
1 Jan 2023 02:21:00.000,390898.021741
1 Jan 2023 02:22:00.000,390884.645754
1 Jan 2023 02:23:00.000,390871.212387
1 Jan 2023 02:24:00.000,390857.721928
1 Jan 2023 02:25:00.000,390844.174665
1 Jan 2023 02:26:00.000,390830.570886
1 Jan 2023 02:27:00.000,390816.910882
1 Jan 2023 02:28:00.000,390803.194944
1 Jan 2023 02:29:00.000,390789.423363
1 Jan 2023 02:30:00.000,390775.596434
1 Jan 2023 02:31:00.000,390761.714449
1 Jan 2023 02:32:00.000,390747.777704
1 Jan 2023 02:33:00.000,390733.786495
1 Jan 2023 02:34:00.000,390719.741118
1 Jan 2023 02:35:00.000,390705.641872
1 Jan 2023 02:36:00.000,390691.489056
1 Jan 2023 02:37:00.000,390677.282970
1 Jan 2023 02:38:00.000,390663.023914
1 Jan 2023 02:39:00.000,390648.712189
1 Jan 2023 02:40:00.000,390634.348100
1 Jan 2023 02:41:00.000,390619.931949
1 Jan 2023 02:42:00.000,390605.464042
1 Jan 2023 02:43:00.000,390590.944683
1 Jan 2023 02:44:00.000,390576.374179
1 Jan 2023 02:45:00.000,390561.752838
1 Jan 2023 02:46:00.000,390547.080968
1 Jan 2023 02:47:00.000,390532.358877
1 Jan 2023 02:48:00.000,390517.586878
1 Jan 2023 02:49:00.000,390502.765279
1 Jan 2023 02:50:00.000,390487.894394
1 Jan 2023 02:51:00.000,390472.974535
1 Jan 2023 02:52:00.000,390458.006015
1 Jan 2023 02:53:00.000,390442.989150
1 Jan 2023 02:54:00.000,390427.924255
1 Jan 2023 02:55:00.000,390412.811647
1 Jan 2023 02:56:00.000,390397.651642
1 Jan 2023 02:57:00.000,390382.444558
1 Jan 2023 02:58:00.000,390367.190715
1 Jan 2023 02:59:00.000,390351.890432
1 Jan 2023 03:00:00.000,390336.544030
1 Jan 2023 03:01:00.000,390321.151831
1 Jan 2023 03:02:00.000,390305.714157
1 Jan 2023 03:03:00.000,390290.231330
1 Jan 2023 03:04:00.000,390274.703675
1 Jan 2023 03:05:00.000,390259.131517
1 Jan 2023 03:06:00.000,390243.515182
1 Jan 2023 03:07:00.000,390227.854995
1 Jan 2023 03:08:00.000,390212.151284
1 Jan 2023 03:09:00.000,390196.404376
1 Jan 2023 03:10:00.000,390180.614602
1 Jan 2023 03:11:00.000,390164.782290
1 Jan 2023 03:12:00.000,390148.907770
1 Jan 2023 03:13:00.000,390132.991375
1 Jan 2023 03:14:00.000,390117.033435
1 Jan 2023 03:15:00.000,390101.034284
1 Jan 2023 03:16:00.000,390084.994254
1 Jan 2023 03:17:00.000,390068.913681
1 Jan 2023 03:18:00.000,390052.792899
1 Jan 2023 03:19:00.000,390036.632243
1 Jan 2023 03:20:00.000,390020.432050
1 Jan 2023 03:21:00.000,390004.192658
1 Jan 2023 03:22:00.000,389987.914404
1 Jan 2023 03:23:00.000,389971.597627
1 Jan 2023 03:24:00.000,389955.242666
1 Jan 2023 03:25:00.000,389938.849861
1 Jan 2023 03:26:00.000,389922.419552
1 Jan 2023 03:27:00.000,389905.952082
1 Jan 2023 03:28:00.000,389889.447792
1 Jan 2023 03:29:00.000,389872.907026
1 Jan 2023 03:30:00.000,389856.330126
1 Jan 2023 03:31:00.000,389839.717437
1 Jan 2023 03:32:00.000,389823.069303
1 Jan 2023 03:33:00.000,389806.386071
1 Jan 2023 03:34:00.000,389789.668085
1 Jan 2023 03:35:00.000,389772.915694
1 Jan 2023 03:36:00.000,389756.129244
1 Jan 2023 03:37:00.000,389739.309083
1 Jan 2023 03:38:00.000,389722.455561
1 Jan 2023 03:39:00.000,389705.569026
1 Jan 2023 03:40:00.000,389688.649828
1 Jan 2023 03:41:00.000,389671.698319
1 Jan 2023 03:42:00.000,389654.714849
1 Jan 2023 03:43:00.000,389637.699770
1 Jan 2023 03:44:00.000,389620.653434
1 Jan 2023 03:45:00.000,389603.576194
1 Jan 2023 03:46:00.000,389586.468404
1 Jan 2023 03:47:00.000,389569.330418
1 Jan 2023 03:48:00.000,389552.162591
1 Jan 2023 03:49:00.000,389534.965278
1 Jan 2023 03:50:00.000,389517.738834
1 Jan 2023 03:51:00.000,389500.483617
1 Jan 2023 03:52:00.000,389483.199982
1 Jan 2023 03:53:00.000,389465.888289
1 Jan 2023 03:54:00.000,389448.548893
1 Jan 2023 03:55:00.000,389431.182155
1 Jan 2023 03:56:00.000,389413.788433
1 Jan 2023 03:57:00.000,389396.368087
1 Jan 2023 03:58:00.000,389378.921477
1 Jan 2023 03:59:00.000,389361.448963
1 Jan 2023 04:00:00.000,389343.950906
1 Jan 2023 04:01:00.000,389326.427669
1 Jan 2023 04:02:00.000,389308.879613
1 Jan 2023 04:03:00.000,389291.307101
1 Jan 2023 04:04:00.000,389273.710496
1 Jan 2023 04:05:00.000,389256.090160
1 Jan 2023 04:06:00.000,389238.446460
1 Jan 2023 04:07:00.000,389220.779758
1 Jan 2023 04:08:00.000,389203.090419
1 Jan 2023 04:09:00.000,389185.378810
1 Jan 2023 04:10:00.000,389167.645295
1 Jan 2023 04:11:00.000,389149.890241
1 Jan 2023 04:12:00.000,389132.114014
1 Jan 2023 04:13:00.000,389114.316982
1 Jan 2023 04:14:00.000,389096.499512
1 Jan 2023 04:15:00.000,389078.661972
1 Jan 2023 04:16:00.000,389060.804730
1 Jan 2023 04:17:00.000,389042.928154
1 Jan 2023 04:18:00.000,389025.032614
1 Jan 2023 04:19:00.000,389007.118479
1 Jan 2023 04:20:00.000,388989.186119
1 Jan 2023 04:21:00.000,388971.235905
1 Jan 2023 04:22:00.000,388953.268205
1 Jan 2023 04:23:00.000,388935.283392
1 Jan 2023 04:24:00.000,388917.281837
1 Jan 2023 04:25:00.000,388899.263910
1 Jan 2023 04:26:00.000,388881.229985
1 Jan 2023 04:27:00.000,388863.180433
1 Jan 2023 04:28:00.000,388845.115627
1 Jan 2023 04:29:00.000,388827.035939
1 Jan 2023 04:30:00.000,388808.941744
1 Jan 2023 04:31:00.000,388790.833413
1 Jan 2023 04:32:00.000,388772.711321
1 Jan 2023 04:33:00.000,388754.575843
1 Jan 2023 04:34:00.000,388736.427352
1 Jan 2023 04:35:00.000,388718.266223
1 Jan 2023 04:36:00.000,388700.092830
1 Jan 2023 04:37:00.000,388681.907550
1 Jan 2023 04:38:00.000,388663.710757
1 Jan 2023 04:39:00.000,388645.502827
1 Jan 2023 04:40:00.000,388627.284136
1 Jan 2023 04:41:00.000,388609.055060
1 Jan 2023 04:42:00.000,388590.815975
1 Jan 2023 04:43:00.000,388572.567259
1 Jan 2023 04:44:00.000,388554.309287
1 Jan 2023 04:45:00.000,388536.042437
1 Jan 2023 04:46:00.000,388517.767086
1 Jan 2023 04:47:00.000,388499.483611
1 Jan 2023 04:48:00.000,388481.192390
1 Jan 2023 04:49:00.000,388462.893801
1 Jan 2023 04:50:00.000,388444.588222
1 Jan 2023 04:51:00.000,388426.276030
1 Jan 2023 04:52:00.000,388407.957605
1 Jan 2023 04:53:00.000,388389.633324
1 Jan 2023 04:54:00.000,388371.303566
1 Jan 2023 04:55:00.000,388352.968711
1 Jan 2023 04:56:00.000,388334.629136
1 Jan 2023 04:57:00.000,388316.285220
1 Jan 2023 04:58:00.000,388297.937344
1 Jan 2023 04:59:00.000,388279.585886
1 Jan 2023 05:00:00.000,388261.231225
1 Jan 2023 05:01:00.000,388242.873741
1 Jan 2023 05:02:00.000,388224.513814
1 Jan 2023 05:03:00.000,388206.151823
