"Time (UTCG)","Magnitude (km)"
1 Jan 2023 00:54:00.000,392175.530206
1 Jan 2023 00:55:00.000,392168.090521
1 Jan 2023 00:56:00.000,392160.572798
1 Jan 2023 00:57:00.000,392152.977221
1 Jan 2023 00:58:00.000,392145.303973
1 Jan 2023 00:59:00.000,392137.553238
1 Jan 2023 01:00:00.000,392129.725205
1 Jan 2023 01:01:00.000,392121.820059
1 Jan 2023 01:02:00.000,392113.837991
1 Jan 2023 01:03:00.000,392105.779192
1 Jan 2023 01:04:00.000,392097.643852
1 Jan 2023 01:05:00.000,392089.432165
1 Jan 2023 01:06:00.000,392081.144326
1 Jan 2023 01:07:00.000,392072.780531
1 Jan 2023 01:08:00.000,392064.340976
1 Jan 2023 01:09:00.000,392055.825861
1 Jan 2023 01:10:00.000,392047.235385
1 Jan 2023 01:11:00.000,392038.569748
1 Jan 2023 01:12:00.000,392029.829155
1 Jan 2023 01:13:00.000,392021.013808
1 Jan 2023 01:14:00.000,392012.123912
1 Jan 2023 01:15:00.000,392003.159674
1 Jan 2023 01:16:00.000,391994.121301
1 Jan 2023 01:17:00.000,391985.009003
1 Jan 2023 01:18:00.000,391975.822990
1 Jan 2023 01:19:00.000,391966.563472
1 Jan 2023 01:20:00.000,391957.230664
1 Jan 2023 01:21:00.000,391947.824779
1 Jan 2023 01:22:00.000,391938.346032
1 Jan 2023 01:23:00.000,391928.794641
1 Jan 2023 01:24:00.000,391919.170822
1 Jan 2023 01:25:00.000,391909.474796
1 Jan 2023 01:26:00.000,391899.706782
1 Jan 2023 01:27:00.000,391889.867003
1 Jan 2023 01:28:00.000,391879.955681
1 Jan 2023 01:29:00.000,391869.973041
1 Jan 2023 01:30:00.000,391859.919308
1 Jan 2023 01:31:00.000,391849.794709
1 Jan 2023 01:32:00.000,391839.599472
1 Jan 2023 01:33:00.000,391829.333825
1 Jan 2023 01:34:00.000,391818.998000
1 Jan 2023 01:35:00.000,391808.592229
1 Jan 2023 01:36:00.000,391798.116743
1 Jan 2023 01:37:00.000,391787.571778
1 Jan 2023 01:38:00.000,391776.957568
1 Jan 2023 01:39:00.000,391766.274350
1 Jan 2023 01:40:00.000,391755.522363
1 Jan 2023 01:41:00.000,391744.701844
1 Jan 2023 01:42:00.000,391733.813034
1 Jan 2023 01:43:00.000,391722.856175
1 Jan 2023 01:44:00.000,391711.831509
1 Jan 2023 01:45:00.000,391700.739280
1 Jan 2023 01:46:00.000,391689.579733
1 Jan 2023 01:47:00.000,391678.353114
1 Jan 2023 01:48:00.000,391667.059670
1 Jan 2023 01:49:00.000,391655.699650
1 Jan 2023 01:50:00.000,391644.273304
1 Jan 2023 01:51:00.000,391632.780883
1 Jan 2023 01:52:00.000,391621.222638
1 Jan 2023 01:53:00.000,391609.598823
1 Jan 2023 01:54:00.000,391597.909692
1 Jan 2023 01:55:00.000,391586.155501
1 Jan 2023 01:56:00.000,391574.336506
1 Jan 2023 01:57:00.000,391562.452966
1 Jan 2023 01:58:00.000,391550.505139
1 Jan 2023 01:59:00.000,391538.493285
1 Jan 2023 02:00:00.000,391526.417665
1 Jan 2023 02:01:00.000,391514.278543
1 Jan 2023 02:02:00.000,391502.076180
1 Jan 2023 02:03:00.000,391489.810843
1 Jan 2023 02:04:00.000,391477.482796
1 Jan 2023 02:05:00.000,391465.092307
1 Jan 2023 02:06:00.000,391452.639644
1 Jan 2023 02:07:00.000,391440.125074
1 Jan 2023 02:08:00.000,391427.548870
1 Jan 2023 02:09:00.000,391414.911301
1 Jan 2023 02:10:00.000,391402.212641
1 Jan 2023 02:11:00.000,391389.453163
1 Jan 2023 02:12:00.000,391376.633140
1 Jan 2023 02:13:00.000,391363.752850
1 Jan 2023 02:14:00.000,391350.812567
1 Jan 2023 02:15:00.000,391337.812571
1 Jan 2023 02:16:00.000,391324.753140
1 Jan 2023 02:17:00.000,391311.634554
1 Jan 2023 02:18:00.000,391298.457093
1 Jan 2023 02:19:00.000,391285.221040
1 Jan 2023 02:20:00.000,391271.926677
1 Jan 2023 02:21:00.000,391258.574289
1 Jan 2023 02:22:00.000,391245.164161
1 Jan 2023 02:23:00.000,391231.696579
1 Jan 2023 02:24:00.000,391218.171830
1 Jan 2023 02:25:00.000,391204.590202
1 Jan 2023 02:26:00.000,391190.951984
1 Jan 2023 02:27:00.000,391177.257466
1 Jan 2023 02:28:00.000,391163.506940
1 Jan 2023 02:29:00.000,391149.700699
1 Jan 2023 02:30:00.000,391135.839034
1 Jan 2023 02:31:00.000,391121.922240
1 Jan 2023 02:32:00.000,391107.950613
1 Jan 2023 02:33:00.000,391093.924449
1 Jan 2023 02:34:00.000,391079.844044
1 Jan 2023 02:35:00.000,391065.709697
1 Jan 2023 02:36:00.000,391051.521707
1 Jan 2023 02:37:00.000,391037.280374
1 Jan 2023 02:38:00.000,391022.986000
1 Jan 2023 02:39:00.000,391008.638885
1 Jan 2023 02:40:00.000,390994.239333
1 Jan 2023 02:41:00.000,390979.787648
1 Jan 2023 02:42:00.000,390965.284134
1 Jan 2023 02:43:00.000,390950.729098
1 Jan 2023 02:44:00.000,390936.122846
1 Jan 2023 02:45:00.000,390921.465686
1 Jan 2023 02:46:00.000,390906.757925
1 Jan 2023 02:47:00.000,390891.999874
1 Jan 2023 02:48:00.000,390877.191843
1 Jan 2023 02:49:00.000,390862.334144
1 Jan 2023 02:50:00.000,390847.427087
1 Jan 2023 02:51:00.000,390832.470987
1 Jan 2023 02:52:00.000,390817.466157
1 Jan 2023 02:53:00.000,390802.412912
1 Jan 2023 02:54:00.000,390787.311568
1 Jan 2023 02:55:00.000,390772.162442
1 Jan 2023 02:56:00.000,390756.965850
1 Jan 2023 02:57:00.000,390741.722111
1 Jan 2023 02:58:00.000,390726.431544
1 Jan 2023 02:59:00.000,390711.094470
1 Jan 2023 03:00:00.000,390695.711208
1 Jan 2023 03:01:00.000,390680.282082
1 Jan 2023 03:02:00.000,390664.807413
1 Jan 2023 03:03:00.000,390649.287524
1 Jan 2023 03:04:00.000,390633.722741
1 Jan 2023 03:05:00.000,390618.113387
1 Jan 2023 03:06:00.000,390602.459789
1 Jan 2023 03:07:00.000,390586.762273
1 Jan 2023 03:08:00.000,390571.021167
1 Jan 2023 03:09:00.000,390555.236800
1 Jan 2023 03:10:00.000,390539.409499
1 Jan 2023 03:11:00.000,390523.539595
1 Jan 2023 03:12:00.000,390507.627419
1 Jan 2023 03:13:00.000,390491.673302
1 Jan 2023 03:14:00.000,390475.677575
1 Jan 2023 03:15:00.000,390459.640573
1 Jan 2023 03:16:00.000,390443.562628
1 Jan 2023 03:17:00.000,390427.444076
1 Jan 2023 03:18:00.000,390411.285251
1 Jan 2023 03:19:00.000,390395.086488
1 Jan 2023 03:20:00.000,390378.848126
1 Jan 2023 03:21:00.000,390362.570501
1 Jan 2023 03:22:00.000,390346.253952
1 Jan 2023 03:23:00.000,390329.898816
1 Jan 2023 03:24:00.000,390313.505435
1 Jan 2023 03:25:00.000,390297.074147
1 Jan 2023 03:26:00.000,390280.605295
1 Jan 2023 03:27:00.000,390264.099219
1 Jan 2023 03:28:00.000,390247.556263
1 Jan 2023 03:29:00.000,390230.976768
1 Jan 2023 03:30:00.000,390214.361079
1 Jan 2023 03:31:00.000,390197.709541
1 Jan 2023 03:32:00.000,390181.022498
1 Jan 2023 03:33:00.000,390164.300296
1 Jan 2023 03:34:00.000,390147.543282
1 Jan 2023 03:35:00.000,390130.751802
1 Jan 2023 03:36:00.000,390113.926204
1 Jan 2023 03:37:00.000,390097.066837
1 Jan 2023 03:38:00.000,390080.174049
1 Jan 2023 03:39:00.000,390063.248191
1 Jan 2023 03:40:00.000,390046.289611
1 Jan 2023 03:41:00.000,390029.298662
1 Jan 2023 03:42:00.000,390012.275695
1 Jan 2023 03:43:00.000,389995.221061
1 Jan 2023 03:44:00.000,389978.135114
1 Jan 2023 03:45:00.000,389961.018206
1 Jan 2023 03:46:00.000,389943.870691
1 Jan 2023 03:47:00.000,389926.692925
1 Jan 2023 03:48:00.000,389909.485261
1 Jan 2023 03:49:00.000,389892.248055
1 Jan 2023 03:50:00.000,389874.981664
1 Jan 2023 03:51:00.000,389857.686444
1 Jan 2023 03:52:00.000,389840.362752
1 Jan 2023 03:53:00.000,389823.010946
1 Jan 2023 03:54:00.000,389805.631385
1 Jan 2023 03:55:00.000,389788.224427
1 Jan 2023 03:56:00.000,389770.790431
1 Jan 2023 03:57:00.000,389753.329758
